Name,Division,Events,Wins,Win %,Podiums,Podium %,Top 10,Top 10 %,Rounds,Cash Prizes,Cash Prize %,Throws,Cash/Throw,Total Earnings
Ezra Aderhold,MPO,69,7,10.14%,17,24.64%,31,44.93%,202,60,86.96%,"11,795",$3.14,"$37,016"
Josh Anthon,MPO,221,50,22.62%,100,45.25%,178,80.54%,851,210,95.02%,"45,887",$3.38,"$155,170"
Niklas Anttila,MPO,54,16,29.63%,29,53.70%,48,88.89%,162,31,57.41%,"9,440",$1.51,"$14,288"
Dion Arlyn,MPO,205,37,18.05%,86,41.95%,156,76.10%,618,165,80.49%,"34,528",$1.16,"$39,987"
Anthony Barela,MPO,157,29,18.47%,54,34.39%,101,64.33%,496,90,57.32%,"28,802",$1.96,"$56,530"
Gregg Barsby,MPO,431,74,17.17%,172,39.91%,286,66.36%,"1,495",358,83.06%,"84,618",$2.50,"$211,371"
Philo Brathwaite,MPO,337,38,11.28%,114,33.83%,196,58.16%,"1,135",296,87.83%,"64,169",$2.27,"$145,878"
Steve Brinster,MPO,408,107,26.23%,199,48.77%,313,76.72%,"1,360",381,93.38%,"75,767",$2.84,"$215,086"
Lance Brown,MPO,281,18,6.41%,67,23.84%,174,61.92%,859,186,66.19%,"49,172",$0.94,"$46,217"
Gannon Buhr,MPO,74,22,29.73%,36,48.65%,52,70.27%,206,17,22.97%,"12,296",$1.21,"$14,896"
Benjamin Callaway,MPO,176,27,15.34%,53,30.11%,113,64.20%,528,116,65.91%,"30,651",$1.56,"$47,780"
AJ Carey,MPO,228,20,8.77%,60,26.32%,125,54.82%,662,77,33.77%,"38,918",$0.61,"$23,878"
Nick Carl,MPO,67,10,14.93%,21,31.34%,39,58.21%,178,37,55.22%,"10,721",$0.82,"$8,764"
Jordan Castro,MPO,219,21,9.59%,64,29.22%,123,56.16%,630,148,67.58%,"36,762",$1.46,"$53,758"
Chris Clemons,MPO,172,30,17.44%,63,36.63%,99,57.56%,496,152,88.37%,"27,807",$2.84,"$79,019"
Ken Climo,MPO,462,230,49.78%,351,75.97%,443,95.89%,"1,912",452,97.84%,"96,132",$4.42,"$425,146"
James Conrad,MPO,251,31,12.35%,85,33.86%,182,72.51%,780,208,82.87%,"44,799",$3.68,"$164,943"
Chris Dickerson,MPO,289,149,51.56%,211,73.01%,262,90.66%,821,266,92.04%,"43,666",$4.84,"$211,171"
Matt Dollar,MPO,586,141,24.06%,313,53.41%,476,81.23%,"1,625",494,84.30%,"89,314",$1.57,"$140,605"
Nate Doss,MPO,304,42,13.82%,123,40.46%,238,78.29%,"1,155",263,86.51%,"66,569",$3.88,"$258,305"
Brian Earhart,MPO,157,12,7.64%,35,22.29%,73,46.50%,467,108,68.79%,"27,764",$1.41,"$39,201"
Dave Feldberg,MPO,549,120,21.86%,260,47.36%,437,79.60%,"2,005",479,87.25%,"110,210",$3.70,"$408,164"
Andrew Fish,MPO,157,56,35.67%,103,65.61%,133,84.71%,456,150,95.54%,"25,654",$2.68,"$68,809"
Mason Ford,MPO,98,34,34.69%,65,66.33%,76,77.55%,271,85,86.73%,"15,336",$3.67,"$56,330"
Joel Freeman,MPO,149,20,13.42%,59,39.60%,103,69.13%,445,139,93.29%,"25,350",$3.58,"$90,715"
Reid Frescura,MPO,252,32,12.70%,89,35.32%,157,62.30%,645,164,65.08%,"38,022",$1.50,"$56,923"
Chandler Fry,MPO,234,29,12.39%,89,38.03%,151,64.53%,738,170,72.65%,"41,531",$1.52,"$62,988"
Drew Gibson,MPO,212,13,6.13%,42,19.81%,123,58.02%,705,179,84.43%,"41,341",$2.79,"$115,540"
