Place,Points,Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Total,Prize
1,1450,Jeremy Koling,33705,1027,57,56,57,53,223,"$2,500"
2,1440,Richard Wysocki,38008,1046,56,63,52,53,224,"$2,800"
3,1430,Joe Rovere,30306,1036,55,60,56,54,225,"$1,750"
4,1420,Paul Ulibarri,27171,1021,59,57,58,54,228,"$1,900"
5,1410,Cameron Colglazier,47407,1029,57,57,59,57,230,"$1,300"
6,1400,Paul Mcbeth,27523,1047,55,63,59,55,232,"$1,325"
6,1400,Steve Rico,4666,1031,58,62,56,56,232,"$1,200"
6,1400,Matt Orum,18330,1034,55,65,55,57,232,"$1,200"
9,1370,Will Schusterick,29064,1034,58,60,58,57,233,"$1,510"
10,1360,David Feldberg,12626,1035,54,56,67,57,234,"$1,305"
10,1360,Cale Leiviska,24341,1029,52,63,59,60,234,"$1,055"
12,1340,Andrew Fish,58320,1005,59,60,59,57,235,$880
12,1340,Matt Dollar,26045,1017,59,57,62,57,235,$880
12,1340,David Wiggins,24437,1019,59,56,63,57,235,$880
12,1340,Josh Childs,13007,1020,55,58,63,59,235,$880
12,1340,Steve Brinster,10628,1034,57,56,61,61,235,$880
12,1340,Devin Frederick,16287,1013,61,52,60,62,235,$880
18,1280,Christian Dietrich,27984,1021,64,54,59,60,237,$705
18,1280,Jason Dore,31476,1001,55,61,61,60,237,$705
20,1260,Chris Addiego,24843,995,58,61,63,56,238,$640
21,1250,Garrett Gurthie,13864,1023,61,60,61,57,239,$600
22,1240,Aaron Doyle,32750,987,58,67,57,58,240,$535
22,1240,Matt Toy,18265,994,60,60,59,61,240,$535
24,1220,Don Smith,16831,998,60,62,61,58,241,$450
24,1220,Kevin Gardner,41647,993,61,63,56,61,241,$450
26,1200,Joey Lutz,45887,1009,57,61,66,58,242,$400
26,1200,James Cole,29690,1007,60,59,62,61,242,$400
28,1180,Pat Blazek,25325,1013,57,68,60,58,243,$365
28,1180,Gregg Barsby,15857,1006,62,60,61,60,243,$365
28,1180,Calvin Heimburg,45971,999,56,68,57,62,243,"$1,165"
28,1180,Dutch Napier,31473,1004,51,65,62,65,243,$365
32,1140,John Fowler,6520,990,65,61,61,57,244,$330
32,1140,Nate Doss,11794,1035,60,62,61,61,244,"$2,455"
32,1140,Devan Owens,25168,1028,61,60,61,62,244,$330
35,1110,Cam Todd,12827,1015,60,59,65,61,245,$305
35,1110,Dana Vicich,26228,1011,54,64,64,63,245,$305
37,1090,Daniel Jenkins,38732,989,59,67,63,57,246,$285
37,1090,Mark Peters,45745,984,64,61,62,59,246,$285
37,1090,Dan Hastings,33504,1006,62,63,62,59,246,$285
37,1090,Max Nichols,21870,1010,60,64,61,61,246,$285
37,1090,Drew Gibson,48346,1002,55,69,60,62,246,$285
42,1040,Philo Brathwaite,26416,1023,59,70,62,56,247,$265
42,1040,Nate Krahn,29352,1007,61,66,59,61,247,$265
42,1040,Henry Childres,24834,974,58,57,63,69,247,$265
45,1010,Mitch Sonderfan,17998,1003,59,61,64,64,248,$255
45,1010,Tim Mirabal,29891,985,58,63,62,65,248,$255
47,990,Geoff Bennett,24962,1005,63,66,59,61,249,$245
48,980,Scotty Too Hotty Burtard,17948,1001,62,66,64,58,250,$230
48,980,Jared Roan,49210,1014,59,66,66,59,250,$230
48,980,Tyler Grady,45097,979,58,69,62,61,250,$230
48,980,David Kociuba,26608,978,61,64,62,63,250,$230
48,980,Kyle Moriarty,50920,965,55,67,62,66,250,$230
53,930,Jeremy Binley,47584,973,62,64,65,60,251,$225
53,930,Brian Harrington,33545,995,65,62,61,63,251,$225
53,930,Anthony Cantow,44406,952,65,60,62,64,251,$225
56,900,Barrett Johnson,51531,1007,66,62,64,60,252,$225
56,900,Corey James,40385,995,64,65,62,61,252,$225
56,900,Jay Reading,15864,1009,57,64,65,66,252,$225
59,870,Paul Oman,34344,1007,56,73,61,63,253,$225
59,870,Chris Sprague,16425,996,64,64,60,65,253,$225
59,870,Hunter Todd,26052,1000,58,62,66,67,253,$225
62,840,James Hagen,6943,964,61,68,64,61,254,$225
62,840,Justin Celmer,22772,983,63,61,69,61,254,$225
62,840,Justin Cogan,28504,979,66,65,57,66,254,$225
65,810,Toad McReynolds,20256,977,64,66,63,62,255,$225
66,800,Troy Widden,24996,987,61,63,64,69,257,$225
67,790,Mark Roberts,15229,973,66,62,65,65,258,$225
67,790,Dustin Keegan,35187,1009,58,69,59,72,258,$225
69,770,Jeremy Mount,28051,995,63,62,66,68,259,$225
70,760,David Jenkins,43037,961,64,63,65,68,260,$225
71,750,Evan Gurthie,12252,971,67,62,62,71,262,$225
72,740,Sean Healy,27492,979,63,67,63,72,265,$225
