Place,Points,Name,PDGA#,Rating,Par,Rd1,Rd2,Rd3,Total,Prize
1,1440,Adam Hammes,57365,1038,-22,54,53,51,158,"$7,500"
2,1430,Eagle Wynne McMahon,37817,1055,-19,51,52,58,161,"$3,350"
2,1430,Richard Wysocki,38008,1055,-19,54,54,53,161,"$3,350"
4,1410,Calvin Heimburg,45971,1049,-16,57,52,55,164,"$2,097"
4,1410,Matt Bell,48950,1022,-16,58,52,54,164,"$2,097"
4,1410,Matthew Orum,18330,1039,-16,55,53,56,164,"$2,097"
7,1380,Andrew Marwede,75590,1025,-14,55,55,56,166,"$1,750"
7,1380,Joel Freeman,69509,1030,-14,54,53,59,166,"$1,750"
9,1360,Benjamin Callaway,39015,1022,-13,55,54,58,167,"$1,550"
9,1360,Thomas Gilbert,85850,1022,-13,57,60,50,167,"$1,550"
11,1340,Paul McBeth,27523,1053,-12,58,52,58,168,"$1,400"
12,1330,Nathan Queen,68286,1027,-11,55,57,57,169,"$1,110"
12,1330,Jeremy Koling,33705,1027,-11,59,53,57,169,"$1,110"
12,1330,Cale Leiviska,24341,1036,-11,58,53,58,169,"$1,110"
12,1330,Dylan Horst,32599,1000,-11,57,53,59,169,"$1,110"
12,1330,Gregg Barsby,15857,1024,-11,57,54,58,169,"$1,110"
17,1280,Alden Harris,98091,1019,-10,60,53,57,170,$844
17,1280,Zackeriath Johnson,50312,1019,-10,55,61,54,170,$844
17,1280,Chris Dickerson,62467,1045,-10,58,55,57,170,$844
17,1280,Lance Brown,58644,995,-10,59,57,54,170,$844
21,1240,James Conrad,17295,1037,-9,60,53,58,171,$750
21,1240,Emerson Keith,47472,1026,-9,59,57,55,171,$750
21,1240,Corey Ellis,44512,1019,-9,64,57,50,171,$750
24,1210,Zach Melton,38631,1011,-8,58,61,53,172,$700
25,1200,Chris Clemons,50401,1028,-7,58,59,56,173,$638
25,1200,Ezra Aderhold,121715,1024,-7,61,60,52,173,$638
25,1200,Aaron Gossage,35449,1017,-7,60,56,57,173,$638
25,1200,Raven Newsom,88212,1019,-7,55,60,58,173,$638
29,1160,Garrett Gurthie,13864,1030,-6,55,60,59,174,$540
29,1160,Paul Ulibarri,27171,1029,-6,55,55,64,174,$540
29,1160,Nikko Locastro,11534,1031,-6,61,57,56,174,$540
29,1160,Andrew Fish,58320,1027,-6,58,60,56,174,$540
29,1160,Kyle Moriarty,50920,1011,-6,57,56,61,174,$540
34,1110,Kevin Jones,41760,1038,-5,56,59,60,175,$485
34,1110,Nate Perkins,65737,1008,-5,57,56,62,175,$485
36,1090,Luke Humphries,69424,1013,-4,61,57,58,176,$455
36,1090,Drew Gibson,48346,1033,-4,60,57,59,176,$455
36,1090,Bryson James,56345,1002,-4,58,55,63,176,$455
36,1090,Alex Russell,66362,1018,-4,61,55,60,176,$455
40,1050,Connor O'Reilly,99648,1014,-3,59,57,61,177,$405
40,1050,Charles Behrhorst,42202,1002,-3,57,60,60,177,$405
40,1050,Casey White,81739,1020,-3,65,54,58,177,$405
40,1050,Kyle Klein,85132,1038,-3,59,55,63,177,$405
40,1050,Noah Meintsma,56555,1011,-3,58,57,62,177,$405
40,1050,Steve Brinster,10628,1019,-3,61,59,57,177,$405
46,990,Dylan Capaccioli,122655,985,-2,63,56,59,178,$355
46,990,Philo Brathwaite,26416,1021,-2,62,59,57,178,$355
46,990,Andrew Presnell,63765,1027,-2,64,54,60,178,$355
46,990,Dustin Keegan,35187,1013,-2,57,64,57,178,$355
46,990,Michael Johansen,20300,1018,-2,61,61,56,178,$355
51,940,Jonathan Nicholson,101390,1010,-1,61,57,61,179,$323
51,940,Luke Samson,59419,1005,-1,64,57,58,179,$323
51,940,Paul Oman,34344,1011,-1,63,58,58,179,$323
51,940,Cole Redalen,79748,1020,-1,59,61,59,179,$323
51,940,Christian Olsen,60666,988,-1,61,58,60,179,$323
51,940,Bartosz Kowalewski,68737,1001,-1,59,62,58,179,$323
57,880,AJ Carey,61770,1009,E,60,63,57,180,$300
57,880,Bradley Williams,31644,1024,E,65,58,57,180,$300
